age,gender,city,relationship_status,sleep_hours,exercise_frequency,screen_time_hours,diet_quality,stress_level,anxiety_level,mood,motivation_level,concentration_level,social_support,social_interaction_frequency,work_stress,is_student,is_employed,household_responsibility,open_to_therapy,aware_of_mental_health,mental_health_risk
32,male,Delhi,in_relationship,5.4,2,4.9,2,9,5,4,5,6,4,10,2,1,0,1,1,1,1
27,male,Mumbai,single,6.3,4,7,2,7,7,7,5,4,4,2,3,1,0,1,1,1,1
33,female,Mumbai,single,5.2,4,6.1,3,10,10,4,7,4,2,8,2,1,0,4,1,1,1
40,female,Delhi,married,8.2,2,6.3,3,8,6,6,7,8,5,5,5,0,1,4,1,0,1
26,male,Pune,single,6.1,2,5.4,3,6,5,5,7,4,5,8,0,1,0,2,1,0,0
26,female,Hyderabad,complicated,8.4,6,5.9,4,6,5,10,9,6,4,4,6,0,1,4,1,1,0
41,male,Hyderabad,in_relationship,8.8,7,3.1,4,2,3,10,10,8,4,3,0,0,0,2,1,1,0
34,female,Delhi,single,6.9,4,1.7,2,6,8,9,6,6,3,6,4,0,0,3,1,1,0
24,female,Jaipur,single,5.2,0,1.9,3,8,8,2,5,5,2,10,0,0,1,3,1,1,1
32,female,Bengaluru,single,4.7,2,3.1,4,8,5,3,5,4,4,9,1,1,0,2,1,0,1
24,female,Mumbai,single,4.8,3,6.5,3,10,10,1,5,1,1,3,8,0,1,4,0,0,1
24,female,Ahmedabad,single,5.1,3,1.5,2,10,9,1,5,5,3,1,4,0,1,4,1,1,1
30,male,Mumbai,single,8.7,1,5,3,9,9,4,5,4,1,0,5,0,0,3,1,1,1
18,female,Bengaluru,single,7.1,3,4,3,10,9,4,2,5,2,9,6,0,0,2,1,1,1
18,male,Hyderabad,in_relationship,7,5,5.2,2,5,4,7,7,6,4,4,0,1,0,2,1,1,0
24,female,Pune,in_relationship,4.3,0,7.2,1,10,10,1,2,3,4,5,3,0,0,1,1,1,1
20,female,Hyderabad,in_relationship,5.5,1,4.5,3,7,8,2,5,7,3,10,0,1,0,3,1,1,1
31,female,Chennai,single,8.1,2,5.7,3,7,7,6,5,10,3,1,3,0,0,1,1,1,1
21,male,Surat,single,7.2,2,4.6,3,10,7,3,4,3,1,9,5,0,1,4,1,1,1
18,female,Mumbai,in_relationship,6.3,6,6,3,4,5,8,9,7,3,6,0,1,0,3,1,1,0
40,female,Delhi,single,7.7,2,9.1,2,10,10,1,3,4,2,2,8,0,1,4,1,1,1
26,female,Bengaluru,single,8.7,3,2.4,3,7,6,7,6,8,2,6,3,1,0,4,1,1,0
29,male,Bengaluru,married,6.6,3,8,3,8,7,4,3,6,4,4,0,1,0,3,1,1,1
18,male,Bengaluru,in_relationship,6.5,2,5.8,3,10,10,3,3,6,3,6,9,0,1,4,1,1,1
24,male,Jaipur,in_relationship,7,3,3.5,2,7,8,6,7,6,3,3,3,0,1,4,1,1,1
29,male,Chennai,single,9.7,3,7.8,2,9,10,5,3,4,1,0,5,0,1,3,0,0,1
19,female,Ahmedabad,in_relationship,4.2,4,0.8,2,8,7,4,7,6,3,4,1,0,1,2,1,1,1
31,male,Delhi,in_relationship,7.8,2,3.5,3,10,10,2,5,5,2,1,7,0,0,3,1,1,1
23,female,Pune,in_relationship,6.5,7,2.1,4,7,7,9,7,5,3,6,8,0,1,4,1,0,0
26,male,Surat,in_relationship,7.3,6,5.3,2,7,7,5,10,5,2,1,6,0,1,4,1,1,1
23,male,Pune,married,5.6,1,2.7,4,8,7,3,6,6,4,5,3,1,0,2,1,0,1
43,female,Mumbai,in_relationship,6.8,6,5.4,2,9,8,5,4,7,3,6,7,0,1,3,1,1,1
28,female,Ahmedabad,single,7.1,3,4.6,4,6,8,8,8,3,5,6,3,1,0,3,1,1,0
20,female,Mumbai,in_relationship,10,1,3.5,3,6,9,8,6,7,4,6,8,0,1,4,1,1,1
35,female,Delhi,in_relationship,7.4,5,6.8,2,10,8,3,3,4,2,9,4,1,0,1,1,1,1
18,female,Mumbai,in_relationship,5.9,6,4.3,2,6,4,6,5,4,2,3,2,1,0,2,1,1,0
30,male,Ahmedabad,single,6.4,4,3,4,7,4,8,8,7,3,6,2,1,0,2,1,1,0
18,non_binary,Chennai,single,6.6,2,10.1,2,10,10,1,2,2,2,0,7,0,1,3,0,0,1
18,female,Mumbai,married,4.7,2,4.1,3,8,10,1,4,1,1,7,3,1,0,2,1,1,1
30,female,Bengaluru,in_relationship,6.4,4,1.1,5,3,3,10,7,6,5,6,0,1,0,3,1,1,0
34,male,Bengaluru,married,7.5,7,2.8,3,3,6,10,8,5,4,2,2,0,1,4,1,1,0
29,female,Bengaluru,in_relationship,5.1,5,2,3,8,6,6,6,4,4,6,5,0,1,2,1,0,1
27,male,Mumbai,in_relationship,8,3,6.6,4,7,5,7,7,5,3,10,3,1,0,3,1,0,0
26,male,Bengaluru,in_relationship,7.7,5,5.4,3,8,5,7,3,6,4,5,4,1,0,2,0,0,0
18,male,Kolkata,married,5.4,2,5.9,1,9,6,1,4,4,3,4,0,1,0,4,1,1,1
22,male,Mumbai,in_relationship,6.7,4,4,4,6,5,7,6,7,4,7,0,1,0,2,1,1,0
24,female,Mumbai,in_relationship,8.7,2,3.9,2,6,5,7,8,8,2,1,2,0,1,3,1,1,0
36,female,Bengaluru,single,7.7,2,3.8,4,6,5,7,10,7,5,3,6,0,1,3,1,1,0
31,female,Surat,single,7,2,4.3,2,5,8,5,5,5,1,9,2,0,0,2,1,0,1
18,male,Chennai,in_relationship,6,2,7.7,5,8,7,6,3,4,5,7,5,1,0,3,1,0,1
31,male,Chennai,single,7,4,5.2,4,9,6,6,6,4,3,0,5,0,1,4,1,1,1
25,male,Bengaluru,single,6.1,5,5.5,3,10,8,4,5,3,3,0,9,0,1,3,1,1,1
23,non_binary,Ahmedabad,single,4.3,1,5.5,3,10,10,1,6,4,3,5,7,0,1,3,1,1,1
33,male,Mumbai,single,9.5,1,6.3,3,4,5,7,9,5,4,8,0,0,0,1,1,1,0
36,female,Ahmedabad,single,7.2,6,5.1,4,10,10,7,7,4,4,1,6,0,0,4,1,1,1
35,female,Jaipur,single,7.5,3,5.2,3,4,6,9,7,5,3,7,0,0,0,4,1,1,0
21,male,Ahmedabad,married,6.5,0,6.6,4,10,10,5,5,5,3,10,3,1,0,4,1,0,1
26,female,Pune,in_relationship,6.2,2,3.2,3,9,8,4,5,3,3,11,4,0,1,2,1,1,1
31,female,Chennai,single,6.7,0,2.8,3,10,8,4,4,5,5,6,9,0,1,3,1,0,1
36,female,Mumbai,single,4.9,1,2.1,3,10,10,1,1,4,4,7,8,0,1,3,1,1,1
24,female,Jaipur,in_relationship,9.4,0,5.3,4,8,7,4,6,4,4,0,3,1,0,1,1,1,1
27,male,Mumbai,single,5.5,2,0.8,3,7,7,6,6,3,4,12,3,0,0,4,1,1,0
19,male,Hyderabad,married,5.8,3,5.4,3,10,7,6,5,5,4,4,4,0,0,5,1,1,1
18,female,Mumbai,in_relationship,6.5,5,5.2,4,7,7,9,6,6,5,4,4,1,0,5,1,1,0
35,female,Mumbai,in_relationship,8.7,0,6.8,1,9,7,4,3,6,3,6,4,1,0,2,1,1,1
39,male,Bengaluru,single,6.8,2,3.2,3,8,5,5,6,7,2,10,2,0,1,4,1,1,0
27,female,Delhi,in_relationship,5.6,1,4.1,3,10,8,2,1,3,3,12,6,0,1,5,1,0,1
36,female,Bengaluru,single,8.5,5,6.7,5,6,6,6,8,4,2,6,3,0,0,3,1,1,0
31,female,Hyderabad,married,7.3,5,8.4,2,8,7,6,5,5,3,9,5,1,0,3,0,0,1
23,male,Mumbai,in_relationship,7.6,4,3.1,5,8,5,7,3,5,3,6,4,0,0,1,1,1,0
31,female,Mumbai,single,7.9,2,5.4,3,5,6,7,9,5,5,3,1,1,0,4,1,1,0
40,female,Hyderabad,single,9.5,6,5.9,4,4,4,10,7,9,3,11,4,1,0,3,1,1,0
28,male,Bengaluru,single,9,0,5.8,4,6,6,6,5,7,3,5,2,1,0,2,1,0,0
41,male,Chennai,in_relationship,6.3,0,5.3,3,7,9,2,6,3,2,11,4,1,0,3,1,1,1
18,female,Chennai,single,8.3,2,8,3,10,10,3,6,3,1,10,7,1,0,3,1,1,1
35,male,Pune,in_relationship,6.8,6,2.1,4,4,3,9,6,8,3,8,0,1,0,3,1,1,0
29,female,Chennai,single,6.9,4,4.3,3,8,8,6,4,5,4,12,5,1,0,3,1,1,1
26,female,Bengaluru,in_relationship,4.2,2,7,3,10,9,1,2,1,4,13,1,1,0,5,1,0,1
29,male,Chennai,married,6.5,2,5.4,2,10,10,3,5,1,4,4,7,0,1,4,1,1,1
18,female,Delhi,in_relationship,6,4,7.2,3,9,8,3,7,7,4,3,4,0,0,5,1,1,1
26,male,Delhi,in_relationship,7.6,6,9,1,5,6,7,6,4,3,1,3,1,0,3,1,0,0
31,female,Kolkata,single,8.2,3,3.9,3,9,8,6,7,6,4,12,9,0,1,4,1,1,1
40,male,Bengaluru,single,4.1,1,7.5,3,10,10,1,2,5,2,5,1,1,0,3,1,1,1
24,female,Kolkata,in_relationship,6.8,1,3.1,3,8,7,4,5,6,5,8,6,0,1,4,1,1,1
22,male,Pune,single,8.3,0,8.7,3,6,6,6,4,5,3,4,0,1,0,3,0,0,0
24,male,Pune,single,6.6,3,10,2,9,9,1,4,2,1,11,4,1,0,2,0,0,1
35,female,Jaipur,single,7.5,1,6.9,4,10,10,5,4,2,2,3,8,0,1,2,1,1,1
31,male,Bengaluru,single,7.1,0,4.7,3,10,9,3,3,5,1,1,5,0,1,4,1,0,1
24,female,Delhi,single,7.4,1,3.8,3,5,3,6,7,9,4,5,0,0,0,2,1,1,0
32,male,Hyderabad,married,6.4,2,1.4,2,8,7,4,3,5,4,3,5,0,1,4,1,1,1
29,female,Bengaluru,single,5.3,2,5.1,3,10,10,1,2,2,1,7,6,0,1,5,1,1,1
36,male,Ahmedabad,in_relationship,4.8,3,3.2,4,10,7,2,4,5,4,6,4,1,0,3,1,1,1
22,female,Chennai,single,7.4,5,3.7,4,8,10,4,7,3,2,8,6,1,0,2,1,1,1
25,male,Chennai,in_relationship,6.3,2,2.8,4,8,7,4,5,6,2,6,2,1,0,4,1,0,1
25,male,Bengaluru,single,5.6,2,4.3,3,6,4,6,7,6,5,5,1,1,0,3,1,1,0
18,male,Mumbai,married,6.2,0,4.4,2,9,8,3,5,4,4,3,4,0,1,5,0,0,1
30,male,Bengaluru,married,6.6,3,5,2,9,8,3,6,5,3,12,4,0,0,1,1,1,1
30,female,Mumbai,single,7.6,3,4.1,3,10,7,6,4,8,3,7,4,1,0,3,1,1,1
28,male,Jaipur,married,6.6,2,6.6,3,10,7,1,2,6,2,0,2,0,0,5,1,1,1
26,female,Bengaluru,complicated,5.2,4,4.1,4,10,8,2,3,6,2,3,6,0,1,5,1,1,1
18,male,Mumbai,married,7.4,3,4,3,6,4,8,10,5,5,7,3,1,0,2,0,0,0
25,male,Mumbai,married,6.4,3,6.2,4,10,7,2,5,7,3,12,3,1,0,5,1,1,1
25,female,Ahmedabad,single,6.9,5,9.9,4,8,6,4,6,6,3,10,1,1,0,5,1,0,1
22,female,Ahmedabad,in_relationship,8.2,4,5.9,3,4,5,8,8,4,1,4,2,1,0,1,0,0,0
27,male,Bengaluru,single,6.3,3,4.7,1,5,5,4,4,7,2,14,0,1,0,3,1,1,0
31,male,Mumbai,single,7.3,3,1.4,4,7,6,7,9,5,4,5,4,0,0,3,1,1,0
43,male,Bengaluru,complicated,5,4,5.8,4,7,10,4,6,1,3,10,3,1,0,2,1,1,1
29,female,Delhi,single,6.8,4,5.6,2,5,7,7,8,5,5,3,2,1,0,2,1,1,0
30,female,Chennai,in_relationship,7.8,1,3.7,4,8,10,4,2,5,5,0,7,0,1,4,1,1,1
27,male,Ahmedabad,married,5.1,1,1.2,3,9,9,3,5,4,3,1,4,0,0,3,1,1,1
18,female,Bengaluru,married,7.2,0,2.8,3,7,8,4,4,5,4,0,3,0,0,3,1,1,1
28,female,Delhi,complicated,7,5,7.8,5,7,7,7,5,5,3,13,3,1,0,4,0,0,0
28,female,Surat,single,7,2,9,4,8,7,5,4,9,5,7,0,1,0,5,1,1,1
48,female,Bengaluru,single,7.6,4,2.7,4,6,6,8,5,5,4,2,5,0,1,4,1,1,0
26,male,Chennai,single,7.4,3,7,3,7,7,5,4,7,3,8,3,1,0,3,1,1,1
30,male,Mumbai,single,8,7,2.7,4,2,3,10,9,8,3,7,1,1,0,2,1,0,0
28,male,Bengaluru,single,5.8,3,7.3,3,10,10,2,3,2,4,7,5,0,0,2,1,1,1
19,male,Mumbai,single,6.7,3,5,3,7,8,7,7,5,4,9,4,0,1,5,1,1,1
37,female,Hyderabad,in_relationship,6.3,4,8.1,2,7,8,4,8,2,5,6,4,1,0,3,0,0,1
34,female,Surat,in_relationship,5.6,4,1.1,3,10,9,3,4,3,1,2,7,0,1,5,0,0,1
34,male,Bengaluru,single,7.8,2,6.7,3,8,9,6,2,5,3,9,5,1,0,2,0,0,1
21,male,Mumbai,in_relationship,9.5,5,4.8,3,5,6,10,8,5,3,9,4,1,0,2,1,1,0
39,male,Mumbai,single,6.7,0,7.5,3,9,6,2,5,6,5,7,3,1,0,3,0,0,1
18,female,Bengaluru,single,7.7,2,6.8,3,5,4,7,6,5,5,13,0,1,0,3,1,1,0
33,male,Mumbai,in_relationship,6.6,3,5.4,3,10,10,2,6,2,3,5,5,1,0,1,0,0,1
46,female,Mumbai,in_relationship,5.8,4,3.3,2,10,9,5,6,2,5,2,8,0,1,5,1,1,1
20,male,Kolkata,in_relationship,4.8,1,6.1,3,10,8,1,1,7,5,7,3,0,0,2,0,0,1
23,male,Bengaluru,single,5.6,4,4.4,3,7,8,6,6,1,3,3,5,0,1,4,1,0,1
29,non_binary,Delhi,married,5,2,2.8,3,6,6,6,6,6,5,8,1,1,0,5,1,1,0
24,female,Jaipur,in_relationship,8.9,1,4.7,3,4,5,10,9,6,3,4,0,1,0,1,0,0,0
18,male,Mumbai,in_relationship,6.4,3,1.1,2,4,3,8,10,7,3,5,0,1,0,2,1,1,0
29,female,Surat,in_relationship,6,7,3.8,4,6,5,8,9,7,4,12,2,1,0,2,1,1,0
20,female,Delhi,married,8,4,7.5,4,8,7,5,6,6,3,5,2,1,0,3,1,1,1
32,female,Jaipur,in_relationship,5.7,3,4.9,3,8,8,4,6,3,3,3,2,0,0,5,1,0,1
21,male,Ahmedabad,in_relationship,6.1,5,3.4,4,5,5,9,8,4,5,9,2,0,0,3,1,1,0
40,female,Pune,complicated,7.2,3,6.1,3,8,9,3,3,5,3,2,5,0,1,4,1,1,1
22,female,Surat,in_relationship,8.2,0,2.8,3,8,5,4,4,8,2,3,2,0,0,3,1,1,1
25,female,Delhi,single,7.4,0,4.7,3,10,8,3,4,5,3,7,6,0,1,4,1,0,1
35,male,Surat,in_relationship,7.2,2,6.1,4,8,10,4,3,5,3,9,3,1,0,3,1,0,1
18,male,Bengaluru,single,6.6,0,6.9,1,10,10,3,5,3,4,10,8,1,0,4,1,1,1
30,male,Bengaluru,single,7.3,1,2.9,2,8,7,3,6,4,4,4,4,1,0,2,1,1,1
38,female,Bengaluru,in_relationship,7.2,0,2.8,4,9,8,6,3,5,5,7,4,0,0,5,1,1,1
18,male,Hyderabad,married,6,2,1.2,1,6,8,7,8,6,5,4,4,0,1,3,1,1,0
29,female,Mumbai,married,6.9,3,3.1,3,6,5,9,7,7,5,5,4,1,0,4,1,1,0
30,female,Hyderabad,single,6,3,6.9,4,10,9,1,2,5,2,9,7,0,1,2,1,1,1
34,male,Hyderabad,in_relationship,6.8,3,3.5,3,10,6,5,6,5,4,3,5,0,1,3,1,0,1
18,female,Kolkata,single,5.7,3,3.9,3,7,9,5,6,6,5,7,4,1,0,3,1,1,1
18,male,Pune,complicated,10,0,8.1,3,3,5,6,9,7,2,7,0,1,0,2,1,1,0
32,female,Bengaluru,complicated,6.4,0,8.3,2,8,8,3,3,4,5,3,2,1,0,3,1,1,1
30,male,Delhi,in_relationship,5.3,0,4.3,3,10,9,1,1,2,3,8,6,0,1,2,1,1,1
30,female,Delhi,married,6.5,1,6.4,2,7,6,5,5,5,3,8,2,1,0,3,1,1,1
31,female,Delhi,in_relationship,7.6,1,2.3,4,5,5,8,8,8,4,0,3,0,0,3,1,1,0
23,female,Mumbai,in_relationship,8.4,0,7.7,4,8,6,4,3,7,4,7,3,1,0,3,1,0,1
30,female,Bengaluru,single,6.2,3,8.8,3,9,8,3,3,7,4,3,4,0,1,3,1,1,1
30,female,Delhi,single,4.5,2,6.6,2,10,10,1,4,4,2,10,5,1,0,4,1,1,1
22,female,Surat,in_relationship,7.6,3,0.3,3,4,6,9,6,7,4,1,4,0,1,2,1,0,0
43,female,Hyderabad,in_relationship,5.2,4,3.4,3,10,10,5,5,3,3,4,8,0,1,3,0,0,1
32,female,Bengaluru,single,6.4,2,5.7,3,10,10,3,3,3,2,6,5,0,1,3,1,0,1
18,male,Hyderabad,married,6.7,3,3.7,2,5,6,7,7,7,3,6,2,0,0,4,1,0,0
33,female,Mumbai,single,6.5,2,8.8,2,10,8,1,1,6,2,9,2,1,0,3,1,0,1
20,female,Bengaluru,in_relationship,7.4,4,5.7,4,5,7,6,9,4,4,0,3,0,1,3,1,1,0
34,female,Ahmedabad,in_relationship,6,4,4.3,4,9,8,7,6,6,5,11,5,1,0,1,0,0,1
37,male,Bengaluru,in_relationship,5.9,3,4.9,2,7,6,4,6,6,2,8,0,1,0,4,1,1,1
21,female,Bengaluru,in_relationship,7,1,2.7,2,5,6,8,8,4,4,10,2,0,0,3,1,1,0
36,male,Surat,single,7,2,5.6,5,6,5,6,4,7,2,9,0,1,0,3,1,1,0
31,female,Jaipur,single,6.7,3,3.4,4,8,6,8,7,4,4,5,4,0,1,3,1,1,0
35,male,Ahmedabad,in_relationship,7.3,2,6.8,3,10,10,4,2,1,3,1,8,0,1,2,1,1,1
43,female,Hyderabad,in_relationship,7.8,5,9.6,4,9,6,3,3,5,2,5,3,1,0,4,1,1,1
26,non_binary,Ahmedabad,single,7.2,3,1.6,3,9,4,5,8,7,4,10,6,0,1,1,1,1,1
22,male,Delhi,in_relationship,7.1,6,1.6,4,3,3,10,10,7,3,11,2,1,0,2,0,0,0
21,female,Bengaluru,single,4.9,0,5.2,3,10,10,1,6,7,3,5,5,1,0,4,0,0,1
21,male,Mumbai,in_relationship,7,4,1.3,3,4,4,7,7,7,1,0,1,1,0,4,1,1,0
27,female,Bengaluru,married,7.6,3,4.6,3,6,8,6,6,6,5,5,5,0,0,3,0,0,0
31,female,Hyderabad,single,7.8,6,6,2,8,3,7,7,8,4,4,4,0,1,5,1,1,0
30,female,Delhi,single,6.2,0,7.5,4,10,7,2,3,4,3,5,2,0,0,3,1,0,1
35,female,Surat,in_relationship,5.7,3,4.9,2,10,9,1,2,5,2,7,8,0,1,4,1,1,1
28,female,Jaipur,in_relationship,6.1,2,4.8,2,9,8,6,4,5,5,9,5,1,0,3,1,1,1
40,male,Chennai,in_relationship,7.3,0,0.7,3,9,9,4,4,6,3,9,3,1,0,3,1,1,1
26,male,Hyderabad,married,8,0,4.6,2,10,8,2,2,5,3,6,3,0,1,5,1,1,1
50,female,Pune,married,6.6,1,4.6,3,10,10,2,2,2,5,0,6,0,1,5,1,1,1
33,female,Mumbai,married,7.5,3,7.4,4,5,7,7,7,5,3,5,3,1,0,3,1,1,0
21,female,Kolkata,in_relationship,6.8,4,3.5,4,5,6,8,7,6,4,13,0,1,0,3,1,1,0
19,female,Mumbai,single,6.9,3,3.6,4,10,10,6,6,4,4,7,6,0,0,1,1,1,1
